Vm (mV),Current (pA),Concentration (uM)
-84,0.158287607644904,1000
-64,0.2809482336195,1000
-44,0.494377070135203,1000
-24,0.692567555818142,1000
16,0.927975145647255,1000
36,0.977777408247383,1000
56,0.989375938942611,1000
76,1.01182742312821,1000
96,1.04192917250918,1000
-164,0.0895988804879019,1000
-144,0.0958080575205894,1000
-124,0.104853573907989,1000
-104,0.0995122020884346,1000
-84,0.203472690506794,1000
-64,0.363676525620442,1000
-44,0.552159266807697,1000
-24,0.825833982767466,1000
16,0.979041012767075,1000
36,0.963091687566905,1000
56,0.995456617186456,1000
76,0.96248090087951,1000
96,1.01466243630979,1000
-164,0.0848315185184527,1000
-144,0.0810714899001835,1000
-124,0.0928571229023202,1000
-104,0.112394021900024,1000
-84,0.164744483049561,1000
-64,0.30481106022526,1000
-44,0.489288144022468,1000
-24,0.622684379392008,1000
16,0.86302545332169,1000
36,0.86509790363659,1000
56,0.87870441710714,1000
76,0.880926853356295,1000
96,0.869995353690183,1000
-164,0.0848707800995858,1000
-144,0.105841484890032,1000
-124,0.121081210108184,1000
-104,0.163770806406011,1000
-84,0.26852726715566,1000
-64,0.450432506413366,1000
-44,0.717717513810784,1000
-24,0.950844965558355,1000
16,0.846971611237636,1000
36,0.880642121090282,1000
56,0.914453336602999,1000
76,0.877223644921507,1000
96,0.907972537888671,1000
