Vm (mV),Current (pA),Concentration (uM)
-44,0.950183500064743,10
-24,1.17265202490854,10
16,0.76337762995933,10
36,0.888545878524217,10
56,0.836523485820264,10
76,0.919277813552313,10
96,0.881576766379391,10
-164,0.674424810892088,10
-144,0.657906875569527,10
-124,0.645537744469564,10
-104,0.69009364335564,10
-84,0.861846194304506,10
-64,0.875460149206292,10
-44,0.927051101596095,10
-24,0.932169257620774,10
16,0.938645978771609,10
36,0.951417286518506,10
56,0.932925882900942,10
76,0.988546075777916,10
96,1.01867842279824,10
-164,0.823242013680019,10
-144,0.813630248871233,10
-124,0.870755881290842,10
-104,0.975868972177226,10
-84,1.05059289328521,10
-64,1.08960161055914,10
-44,1.08265342244436,10
-24,1.06279298533966,10
16,1.11810758473841,10
36,1.08278014212522,10
56,1.08890688944693,10
76,1.0709712288101,10
96,1.04010472979489,10
-164,0.645565301830792,10
-144,0.658591170409427,10
-124,0.691166630064677,10
-104,0.753475585410569,10
-84,0.891717253851789,10
-64,0.941551723939359,10
-44,0.936113951372959,10
-24,0.981435262136366,10
16,0.989125936508996,10
36,0.936894701965706,10
56,0.948434210513766,10
76,0.94497194604049,10
96,0.954542576664736,10
-164,0.689665235376527,10
-144,0.67944141128015,10
-124,0.688110683215664,10
-104,0.761455710372646,10
-84,0.877502445586696,10
-64,0.923622549160553,10
-44,0.928935972518425,10
-24,0.934556718199715,10
16,1.05688354466375,10
36,0.934047351948404,10
56,1.00396414671721,10
76,1.00118190962891,10
96,1.03431716948831,10
-164,0.494729382774406,30
-144,0.494165065554896,30
-124,0.524911517884394,30
-104,0.620106438960646,30
-84,0.814122465995617,30
-64,0.87035767460771,30
-44,0.90850900874543,30
-24,0.88332775671225,30
16,1.02475844730821,30
36,1.07873498162836,30
56,1.01017140075368,30
76,0.996505150071691,30
96,0.951253181386097,30
-164,0.557997725399931,30
-144,0.514375943354152,30
-124,0.564591235676176,30
-104,0.704575219899964,30
-84,0.897663206496959,30
-64,0.903620877398847,30
-44,0.950535842882825,30
-24,1.08323421711345,30
16,0.959625735235413,30
36,1.00202509429641,30
56,1.00297194468424,30
76,0.983881608691269,30
96,0.990601348600089,30
-164,0.471203412755728,30
-144,0.472696437992257,30
-124,0.489531334747922,30
-104,0.590160448907143,30
-84,0.780627463031921,30
-64,0.908699066597597,30
-44,0.910277719241499,30
-24,1.01108260797429,30
16,0.912298872133152,30
36,0.965272933086362,30
56,0.950588116645932,30
76,0.955110865611556,30
96,0.917429589129223,30
-164,0.474497466067102,30
-144,0.437354542303139,30
-124,0.423196057779109,30
-104,0.535958004478545,30
-84,0.721476087976533,30
-64,0.854623032626897,30
-44,0.963496651327905,30
-24,0.934962325065984,30
16,0.757171376246706,30
36,0.822799528844583,30
56,0.850045712907401,30
76,0.853790100557929,30
96,0.906703045043555,30
-164,0.423157905121864,30
-144,0.409235872518118,30
-124,0.406748473735721,30
-104,0.495705891250743,30
-84,0.681620285804244,30
-64,0.857513709785923,30
-44,0.951341541112189,30
-24,0.850176558747643,30
16,0.82397589838769,30
36,0.896261405939548,30
56,0.871018268773186,30
76,0.939382733937585,30
96,1.04522059986878,30
-164,0.590296803774374,30
-144,0.567585333293326,30
-124,0.629620398382007,30
-104,0.794397651716449,30
-84,0.975460739070761,30
-64,1.02905878831442,30
-44,1.04499311927798,30
-24,1.05731533394174,30
16,1.14783124624306,30
36,1.08791340993939,30
56,1.1095380203108,30
76,1.08711659541497,30
96,1.06096206257418,30
-164,0.472743478307679,30
-144,0.446801654555422,30
-124,0.431381547073989,30
-104,0.581498497016491,30
-84,0.821617401976492,30
-64,0.907635014644021,30
-44,0.949158209083991,30
-24,0.975807574679152,30
16,1.03885361788325,30
36,0.99439960290925,30
56,1.05157939417514,30
76,1.02562896007008,30
96,0.989296859642666,30
-164,0.490312343794537,30
-144,0.414810378840555,30
-124,0.446856135617231,30
-104,0.516031489168685,30
-84,0.679942691489946,30
-64,0.790376470211019,30
-44,0.862933927291602,30
-24,0.951869532888069,30
16,1.05596320773554,30
36,0.930472208386119,30
56,0.98387563066277,30
76,1.00580888378262,30
96,0.976705265811135,30
-164,0.248563472068842,100
-144,0.23961658015635,100
-124,0.25059614362571,100
-104,0.308861710827615,100
-84,0.481938012759049,100
-64,0.767805694420524,100
-44,0.90278902954345,100
-24,0.93684994634063,100
16,0.866786470716128,100
36,0.964700702816133,100
56,0.962074195068779,100
76,0.986519696896569,100
96,0.965897395643379,100
-164,0.330146185614392,100
-144,0.323398461509322,100
-124,0.340756206820694,100
-104,0.43382838859766,100
-84,0.714363811036722,100
-64,0.904004909748947,100
-44,0.968142072249925,100
-24,0.971927163343705,100
16,1.008203345521,100
36,1.01538317804694,100
56,0.984394094014783,100
76,0.985007937599238,100
96,0.984226849847743,100
-164,0.290719917515441,100
-144,0.261764168343704,100
