Vm (mV),Current (pA),Concentration (uM)
-164,0.710900132280379,30
-144,0.697121523012612,30
-124,0.70279633105104,30
-104,0.714588539157325,30
-84,0.781930549888089,30
-64,0.937342073631516,30
-44,1.01071592808859,30
-24,1.05156446520158,30
16,0.956568256829534,30
36,0.9802638689175,30
56,1.01083300718674,30
76,0.994643186677077,30
96,0.991094046271136,30
-164,0.817508626673948,30
-144,0.796585143307769,30
-124,0.794832366269119,30
-104,0.755235788984939,30
-84,0.898445385106003,30
-64,0.989551228704163,30
-44,1.02297114427784,30
-24,1.00004739304014,30
16,1.09128901022855,30
36,1.09186311530165,30
56,1.10702894639236,30
76,1.11488446663755,30
96,1.09043719362312,30
-164,0.619471279394698,30
-144,0.618048095983178,30
-124,0.597257981621793,30
-104,0.63629508938376,30
-84,0.727401872626059,30
-64,0.798479945825943,30
-44,0.861064524026997,30
-24,0.852471417414576,30
16,0.914837603395041,30
36,0.89210413823747,30
56,0.900880096932309,30
76,0.890199559483624,30
96,0.873535317759129,30
-164,0.692655377765079,30
-144,0.659637941711108,30
-124,0.664197133468233,30
-104,0.691559462849657,30
-84,0.777808843799217,30
-64,0.908523361009025,30
-44,0.956193840373509,30
-24,0.97601588140328,30
16,1.00905537430895,30
36,1.02509238472092,30
56,1.02459724882027,30
76,1.03644012605213,30
96,1.03206244366179,30
-164,0.670977274697549,30
-144,0.619227436965074,30
-124,0.596314627218718,30
-104,0.606314031131007,30
-84,0.677518079745711,30
-64,0.799020737486211,30
-44,0.874724983844342,30
-24,0.911130185584967,30
16,0.943416196405013,30
36,0.988780319307119,30
56,0.99006340768386,30
76,1.00775405005906,30
96,1.01227429970455,30
-164,0.61918253366981,30
-144,0.640774768873431,30
-124,0.625021626084339,30
-104,0.647495646253862,30
-84,0.710969106588732,30
-64,0.877066080932365,30
-44,0.899909681786591,30
-24,1.02820975877623,30
16,0.927112129697422,30
36,1.03164261006253,30
56,1.05724617998979,30
76,0.855002099806965,30
96,0.943727244881505,30
-164,0.660724478476935,30
-144,0.648972413252932,30
-124,0.601299390795244,30
-104,0.672234862321953,30
-84,0.713732725050811,30
-64,0.802000361814673,30
-44,0.915567235390689,30
-24,0.836128219152266,30
16,1.05680572187928,30
36,0.929863608452521,30
56,0.932675992181462,30
76,1.0289003340718,30
96,0.982696906226021,30
-164,0.63410011411731,30
-144,0.616210327400011,30
-124,0.601166344250771,30
-104,0.630821672386781,30
-84,0.71171166505128,30
-64,0.837725541658978,30
-44,0.920671567535366,30
-24,0.968454013726365,30
16,1.017620817777,30
36,1.01804778877744,30
56,0.994929827412504,30
76,0.988308281610955,30
96,0.978411667795095,30
-164,0.685254803597585,30
-144,0.69319417685033,30
-124,0.659152695539928,30
-104,0.757281377379493,30
-84,0.753875339475685,30
-64,0.908250341750335,30
-44,0.959131251481387,30
-24,1.02219258080718,30
16,0.990826929405316,30
36,1.00037792617105,30
56,0.92551851523251,30
76,0.981369380315919,30
96,0.924764569010366,30
-164,0.513256890226009,100
-144,0.50812680502794,100
-124,0.496919313676624,100
-104,0.564689703200152,100
-84,0.648034320316456,100
-64,0.799993590110803,100
-44,0.903861298653787,100
-24,0.694103138685269,100
16,1.01678560098709,100
36,0.950214204571548,100
56,0.928774277981089,100
76,0.991537385295245,100
96,1.00207825087409,100
-164,0.435696214531076,100
-144,0.421549350097502,100
-124,0.426744941943649,100
-104,0.451681550308485,100
-84,0.545005426535573,100
-64,0.766629232501175,100
-44,0.89464219871643,100
-24,0.970935871477256,100
16,1.03177454701289,100
36,1.00056294555318,100
56,1.00462330889402,100
76,1.0082933226752,100
96,1.02025672554118,100
-164,0.426707756044598,100
-144,0.421225262056775,100
-124,0.408534725846065,100
-104,0.447429531992144,100
-84,0.596940953429007,100
-64,0.73124421891514,100
-44,0.928981808730293,100
-24,0.985923565910329,100
16,0.921524958914869,100
36,0.999481617727109,100
56,0.968275431811415,100
76,0.932236759979747,100
96,1.01594466818703,100
-164,0.404237499753849,100
-144,0.393893380699805,100
-124,0.402430940853782,100
-104,0.426593122821122,100
