Vm (mV),Current (pA),Concentration (uM)
-84,0.745456398769542,3
-64,0.75860241059644,3
-44,0.784630664628599,3
-24,0.802221064912627,3
16,0.992711097789993,3
36,0.950298136006124,3
56,0.910156869169992,3
76,0.908132089675602,3
96,0.9218597636681,3
-164,0.842175702951671,3
-144,0.805244444708914,3
-124,0.776690227331666,3
-104,0.761565773822163,3
-84,0.757139721871541,3
-64,0.8336951144968,3
-44,0.93430543719218,3
-24,0.946433271023902,3
16,1.04344042293788,3
36,1.02112391933432,3
56,1.04202033686265,3
76,1.03904190900492,3
96,1.03421838922946,3
-164,0.711037799893569,3
-144,0.639099880207283,3
-124,0.616645534407604,3
-104,0.561625255028932,3
-84,0.568406151484483,3
-64,0.700580060197993,3
-44,0.893692071947812,3
-24,0.934132411326323,3
16,1.00563127961812,3
36,1.00177815080348,3
56,1.02398872261643,3
76,1.02390846105543,3
96,1.00981178860446,3
-164,0.711037799893569,3
-144,0.639099880207283,3
-124,0.616645534407604,3
-104,0.561625255028932,3
-84,0.568406151484483,3
-64,0.700580060197993,3
-44,0.893692071947812,3
-24,0.934132411326323,3
16,1.00563127961812,3
36,1.00177815080348,3
56,1.02398872261643,3
76,1.02390846105543,3
96,1.00981178860446,3
-164,0.60397462776881,6
-144,0.479948355913825,6
-124,0.486214606149733,6
-104,0.367646129103202,6
-84,0.471542387738852,6
-64,0.495731104712109,6
-24,0.323826463867724,6
16,0.494416354677301,6
36,0.666662479833286,6
56,0.94773743963434,6
76,0.796054182297547,6
96,0.897585597509512,6
-164,0.813471212489987,6
-144,0.671382696871753,6
-124,0.71666044267781,6
-104,0.695395534184814,6
-84,0.798568671627946,6
-64,0.851521379553877,6
-44,0.956082954648403,6
-24,0.87560895984763,6
36,0.978758845516112,6
56,0.949718228460557,6
76,1.01273310351041,6
96,0.983936790557592,6
-164,0.614412148915281,6
-144,0.568030564068173,6
-124,0.564962455610392,6
-104,0.496910887021918,6
-84,0.487995203035074,6
-64,0.697495412085225,6
-44,0.580803899076561,6
-24,0.367010800560088,6
16,0.306823135273801,6
36,0.624622183981054,6
56,0.633642119821842,6
76,0.630181538282664,6
96,0.682385631526677,6
-164,0.670184974479471,6
-144,0.61862222674253,6
-124,0.540843085702558,6
-104,0.535513000680893,6
-84,0.53456142354071,6
-64,0.734892971810733,6
-44,1.05361323369928,6
-24,1.02167810717893,6
16,1.21675337414988,6
